longitude,latitude,height_meters
12.4874281,41.8914314,3.0
12.4874192,41.8914185,3.0
12.4874061,41.8914234,3.0
12.487415,41.8914362,3.0
12.4874028,41.8914411,3.0
12.4873939,41.8914282,3.0
12.4873785,41.8914341,3.0
12.4873874,41.891447,3.0
12.4873737,41.8914522,3.0
12.4873597,41.8914319,3.0
12.4874551,41.8913954,3.0
12.4874692,41.8914157,3.0
12.4875175,41.8914771,3.0
12.4875083,41.8914635,3.0
12.4874926,41.8914538,3.0
12.4874731,41.8914493,3.0
12.4874528,41.8914509,3.0
12.4874452,41.8914358,3.0
12.4874653,41.891434,3.0
12.4874854,41.8914364,3.0
12.4875038,41.8914428,3.0
12.487519,41.8914528,3.0
12.4875421,41.8914443,3.0
12.4875548,41.8914633,3.0
12.4875175,41.8914771,3.0
12.4874147,41.8914655,3.0
12.487401,41.8914768,3.0
12.4873936,41.8914909,3.0
12.4873934,41.8915061,3.0
12.4874004,41.8915204,3.0
12.4873639,41.8915339,3.0
12.4873513,41.8915149,3.0
12.487371,41.8915076,3.0
12.4873679,41.8914918,3.0
12.4873721,41.8914761,3.0
12.4873831,41.8914624,3.0
12.4874044,41.8914501,3.0
12.4874147,41.8914655,3.0
12.4857198,41.8912772,3.0
12.4857112,41.8912797,3.0
12.4856142,41.8913121,3.0
12.485609,41.8913139,3.0
12.4855827,41.8912798,3.0
12.4854197,41.8910134,3.0
12.4853629,41.8910327,3.0
12.485343,41.8909892,3.0
12.4854011,41.8909684,3.0
12.4853697,41.8909155,3.0
12.4853623,41.890903,3.0
12.4853566,41.8908933,3.0
12.485349,41.8908841,3.0
12.4853659,41.8908722,3.0
12.4855237,41.8911171,3.0
12.4855334,41.8911323,3.0
12.48563,41.891283,3.0
12.4857334,41.8912494,3.0
12.485837,41.8912158,3.0
12.4857346,41.8910477,3.0
12.4856255,41.8908534,3.0
12.4856374,41.8908627,3.0
12.4857523,41.8910246,3.0
12.4858713,41.8912198,3.0
12.4859187,41.8912007,3.0
12.4859133,41.8911927,3.0
12.4859309,41.8911879,3.0
12.4859352,41.8911868,3.0
12.4859476,41.8912105,3.0
12.485951,41.8912546,3.0
12.4859518,41.891265,3.0
12.4859093,41.8912711,3.0
12.4859009,41.8912737,3.0
12.4858951,41.8912635,3.0
12.4858699,41.8912257,3.0
12.4857436,41.891269,3.0
12.4857198,41.8912772,3.0
12.4849244,41.8908095,3.0
12.4849432,41.8907952,3.0
12.4849877,41.8908277,3.0
12.4849689,41.890842,3.0
12.4849244,41.8908095,3.0
12.4849179,41.8909201,3.0
12.4849646,41.8908865,3.0
12.4849721,41.8908923,3.0
12.4850041,41.890917,3.0
12.4849629,41.8909466,3.0
12.4849574,41.8909506,3.0
12.4849179,41.8909201,3.0
12.48491,41.8908122,3.0
12.4849375,41.8908338,3.0
12.4849116,41.8908521,3.0
12.4848841,41.8908305,3.0
12.48491,41.8908122,3.0
12.4840687,41.8925101,3.0
